Subject,Activity,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tGravityAccMag-mean(),tGravityAccMag-std(),tBodyAccJerkMag-mean(),tBodyAccJerkMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),tBodyGyroJerkMag-mean(),tBodyGyroJerkMag-std(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyAccMag-mean(),fBodyAccMag-std(),fBodyBodyAccJerkMag-mean(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroMag-mean(),fBodyBodyGyroMag-std(),fBodyBodyGyroJerkMag-mean(),fBodyBodyGyroJerkMag-std()
1,STANDING,0.2789176291,-0.0161375901,-0.1106018177,-0.9957599015,-0.9731900564,-0.979775877,0.9429520004,-0.2729838323,0.0134905823,-0.9937629851,-0.9812259579,-0.9763240636,0.0753766542,0.0079757309,-0.0036852495,-0.9946045423,-0.9856487325,-0.9922511774,-0.0239877348,-0.059397221,0.074800751,-0.9871919466,-0.98773444,-0.980645627,-0.0996092129,-0.0440627878,-0.0489505467,-0.992945107,-0.9951379174,-0.9921084672,-0.9842782074,-0.9819429289,-0.9842782074,-0.9819429289,-0.9923677906,-0.9930962094,-0.9764937928,-0.9786900287,-0.9949667906,-0.9947332387,-0.9952499326,-0.9770708477,-0.9852970987,-0.9960283451,-0.9722931021,-0.9779372596,-0.9946307974,-0.9854187045,-0.990752166,-0.9950737592,-0.9870182268,-0.9923498181,-0.986386786,-0.9889844558,-0.9807731228,-0.9874971287,-0.9871077277,-0.98234533,-0.9853563611,-0.9823138047,-0.9925424775,-0.9925360034,-0.9846176234,-0.9784660721,-0.994815377,-0.9946711232
1,SITTING,0.2612375654,-0.0013082877,-0.1045441823,-0.9772290083,-0.9226186419,-0.9395862911,0.8315099334,0.2044115927,0.3320437028,-0.9684571457,-0.935517056,-0.9490409332,0.07748252,-0.0006191028,-0.0033677924,-0.9864307113,-0.9813719653,-0.9879108045,-0.0453500565,-0.0919241549,0.0629313812,-0.9772112832,-0.9664738953,-0.9414259209,-0.0936793807,-0.0402118124,-0.046702627,-0.9917315921,-0.9895180685,-0.9879358064,-0.9485367862,-0.9270784187,-0.9485367862,-0.9270784187,-0.9873641955,-0.984120024,-0.93089249,-0.9345318404,-0.9919763413,-0.9883087285,-0.9796412387,-0.9440845504,-0.9591848891,-0.9764123132,-0.9172750064,-0.9344695581,-0.9865970226,-0.981579467,-0.9860530923,-0.9874929945,-0.9825139096,-0.9883391849,-0.976161464,-0.9758385853,-0.9513155445,-0.977904227,-0.9623450426,-0.9439178411,-0.9477829226,-0.9284448017,-0.9852621268,-0.9816061774,-0.9584355894,-0.9321983749,-0.9897975472,-0.9870496172
1,LAYING,0.2215982439,-0.0405139534,-0.1132035536,-0.9280564692,-0.8368274056,-0.8260614016,-0.2488817983,0.7055497735,0.4458177198,-0.8968300184,-0.9077200068,-0.8523662902,0.0810865342,0.003838204,0.0108342364,-0.958482112,-0.9241492736,-0.9548551108,-0.016553094,-0.0644861241,0.1486894363,-0.8735438678,-0.9510904402,-0.9082846626,-0.1072709492,-0.0415172869,-0.0740501211,-0.9186085208,-0.9679072436,-0.9577901596,-0.8419291525,-0.7951448639,-0.8419291525,-0.7951448639,-0.9543962646,-0.9282456284,-0.874759548,-0.8190101698,-0.96346103,-0.9358409828,-0.9390990524,-0.8670652052,-0.8826668762,-0.9244374346,-0.8336255561,-0.8128915594,-0.9570738838,-0.9224626098,-0.9480609042,-0.9641607086,-0.9322178704,-0.9605869872,-0.8502491746,-0.9521914948,-0.909302721,-0.8822964508,-0.9512320494,-0.9165825082,-0.8617676481,-0.7983009404,-0.9333003608,-0.9218039756,-0.8621901854,-0.8243194397,-0.9423669466,-0.9326606676
1,WALKING,0.2773307587,-0.0173838185,-0.1111481035,-0.2837402588,0.1144613367,-0.2600279022,0.9352232015,-0.2821650213,-0.068102864,-0.9766096425,-0.9713059615,-0.9477172261,0.0740416333,0.0282721096,-0.0041684062,-0.1136156024,0.0670025008,-0.5026997885,-0.0418309635,-0.0695300462,0.0849448173,-0.4735354859,-0.0546077687,-0.3442666295,-0.0899975424,-0.0398428709,-0.0461309295,-0.2074218548,-0.3044685106,-0.4042554526,-0.1369711766,-0.2196886456,-0.1369711766,-0.2196886456,-0.141428809,-0.0744717501,-0.1609795525,-0.1869783645,-0.2987036791,-0.3253248789,-0.2027943063,0.0897127264,-0.3315601178,-0.3191347196,0.0560400068,-0.2796867515,-0.1705469645,-0.0352255241,-0.4689992246,-0.1335866063,0.1067398571,-0.5347134404,-0.3390321971,-0.1030594164,-0.2559409403,-0.5166919387,-0.0335081598,-0.4365622275,-0.1286234506,-0.3980325868,-0.0571194,-0.103492403,-0.199252569,-0.3210179539,-0.3193085938,-0.3816019118
1,WALKING_DOWNSTAIRS,0.2891883204,-0.0099185046,-0.1075661909,0.0300353383,-0.0319359434,-0.2304342132,0.931874419,-0.266610339,-0.0621199586,-0.9505598116,-0.937018659,-0.8959396951,0.0541553165,0.029650449,-0.010971973,-0.0122838605,-0.1016013906,-0.3457350323,-0.0350781903,-0.090937129,0.0900850142,-0.4580305429,-0.1263491949,-0.1247024542,-0.0739592036,-0.0439902783,-0.0270461061,-0.4870273422,-0.2388248275,-0.2687614802,0.0271882914,0.0198843506,0.0271882914,0.0198843506,-0.0894474808,-0.0257877197,-0.0757412544,-0.2257243681,-0.2954638433,-0.3065106455,0.0382291832,0.0015499078,-0.2255744717,0.0243308391,-0.11296374,-0.2979278947,-0.0276638676,-0.1286671576,-0.2883347357,-0.0863278966,-0.1345800089,-0.4017214643,-0.3524496314,-0.0557022525,-0.0318694272,-0.4954224861,-0.1814147287,-0.2384435653,0.0965845343,-0.1865303011,0.0262184949,-0.1040522607,-0.1857202857,-0.3983503901,-0.2819633592,-0.3919198766
1,WALKING_UPSTAIRS,0.2554616896,-0.0239531493,-0.0973020021,-0.3547080251,-0.002320265,-0.0194792388,0.8933510975,-0.3621533643,-0.0754029398,-0.9563670279,-0.9528492332,-0.9123794104,0.1013727299,0.0194863076,-0.0455625449,-0.4468438877,-0.378274426,-0.7065935309,0.0505493798,-0.1661700151,0.0583595464,-0.5448711045,0.0041051838,-0.5071686749,-0.122232768,-0.0421485885,-0.0407125528,-0.6147865085,-0.6016966562,-0.6063320023,-0.1299276307,-0.3249709292,-0.1299276307,-0.3249709292,-0.4665034462,-0.4789916221,-0.12673559,-0.1486193181,-0.5948828651,-0.6485530443,-0.4043217842,-0.1909767208,-0.4333497021,-0.3374281887,0.0217695107,0.0859565544,-0.4798752457,-0.4134445875,-0.685474354,-0.4619070258,-0.3817770653,-0.7260402008,-0.4926116679,-0.3194746091,-0.453597213,-0.5658924908,0.1515389056,-0.57170784,-0.3523959447,-0.4162601015,-0.4426521625,-0.5330598538,-0.3259614574,-0.1829855183,-0.6346650821,-0.6939305215
3,STANDING,0.2800465133,-0.0143376555,-0.1016217226,-0.966742543,-0.8934493072,-0.9114190151,0.9350307785,-0.3017351303,0.0247631068,-0.982020428,-0.9574253218,-0.9281615774,0.0750900622,0.0077166364,-0.0080717793,-0.9570864893,-0.9416867857,-0.9730596349,-0.0246626071,-0.0585101918,0.0665262054,-0.9004622275,-0.9277886182,-0.9123640815,-0.0994602621,-0.0472415819,-0.0416832157,-0.9409376425,-0.9684337479,-0.9582930118,-0.925430819,-0.9151433036,-0.925430819,-0.9151433036,-0.9593038403,-0.9487700433,-0.8920893493,-0.8821252215,-0.9623393397,-0.9576797669,-0.9601234095,-0.9080753538,-0.9395077352,-0.9699312874,-0.8924343485,-0.9048012546,-0.9576668567,-0.9434979736,-0.9691749034,-0.9605709218,-0.9439485472,-0.9755959495,-0.9012822675,-0.9377111572,-0.9161725377,-0.9019856725,-0.9231259411,-0.9197438461,-0.9269689323,-0.9218360766,-0.9486274677,-0.9482068144,-0.9136823626,-0.883439718,-0.9603317179,-0.9571215105
3,SITTING,0.2571975991,-0.0035029984,-0.0983579203,-0.971010121,-0.8566178121,-0.8751101754,0.9010989846,0.1273033792,0.1390205825,-0.9573244579,-0.9039230083,-0.8977363183,0.0726098419,0.0027252913,-0.0042334837,-0.9744673904,-0.953631391,-0.974661566,-0.0385365205,-0.0752410028,0.0940113976,-0.9654347685,-0.9448545713,-0.9264137104,-0.1036058891,-0.0360909882,-0.0590079967,-0.972546906,-0.9786359087,-0.9737516706,-0.8953833502,-0.8703017,-0.8953833502,-0.8703017,-0.9690807529,-0.9665500842,-0.9193543723,-0.9255181038,-0.9779980519,-0.976772676,-0.970154441,-0.8919077513,-0.9179879254,-0.9716058785,-0.8496556575,-0.864322464,-0.9749503635,-0.9541701513,-0.9708456694,-0.9762835348,-0.9564617567,-0.9771595725,-0.9575506377,-0.95617355,-0.9349679588,-0.9680130629,-0.9396099885,-0.9306331508,-0.9041857256,-0.8746265921,-0.9658888917,-0.9665688529,-0.9466649437,-0.925449629,-0.9778981056,-0.9766898027
3,LAYING,0.2755168527,-0.0189556785,-0.1013004775,-0.9827766392,-0.9620575445,-0.9636910348,-0.2417584781,0.8370320997,0.4887031852,-0.9825121931,-0.9812027497,-0.9648075439,0.0769811126,0.0138041011,-0.0043562587,-0.9808793148,-0.9687107247,-0.9820931629,-0.020817054,-0.0718507159,0.1379995611,-0.9745457521,-0.9772726537,-0.963505609,-0.1000444988,-0.0389771765,-0.06873387,-0.980328645,-0.9867627419,-0.9833382795,-0.9727913461,-0.9642181765,-0.9727913461,-0.9642181765,-0.9794845934,-0.9761212979,-0.9515647515,-0.954275111,-0.9867136252,-0.9831392556,-0.980665609,-0.9611699829,-0.9683321416,-0.983691129,-0.9640946042,-0.9632790802,-0.9805132023,-0.9687521137,-0.9791223444,-0.983122616,-0.9710440127,-0.9837119047,-0.9701672629,-0.9780996823,-0.9623419608,-0.9759864337,-0.9770324955,-0.9672568542,-0.9655242752,-0.9683502174,-0.9759495979,-0.9753053779,-0.9645867248,-0.9554418558,-0.9842782513,-0.9825681581
3,WALKING,0.2755674621,-0.0171767844,-0.1126748598,-0.360356726,-0.0699140652,-0.3874119943,0.9365067433,-0.2619863579,-0.1381078663,-0.9777715914,-0.9623556395,-0.952091795,0.0814745883,0.0100591485,-0.0056226459,-0.2686796439,-0.0449619594,-0.5294861164,-0.0256405193,-0.0779150937,0.0813485943,-0.5718695602,-0.5637932602,-0.4766964116,-0.0952398165,-0.0387874652,-0.0503616101,-0.385922986,-0.6390879841,-0.5366640803,-0.2546903333,-0.3284289366,-0.2546903333,-0.3284289366,-0.2800093174,-0.1399163553,-0.4664117541,-0.5615106833,-0.5661352179,-0.5673715609,-0.3166140117,-0.0813024353,-0.4123740745,-0.3792767812,-0.124030832,-0.422998474,-0.3046944426,-0.1405085902,-0.5141372553,-0.2965966331,-0.0056149876,-0.5435291081,-0.4378457638,-0.5615262653,-0.4181262174,-0.6151213698,-0.5688886734,-0.5458963881,-0.2900315352,-0.4563730809,-0.186764517,-0.0898519904,-0.5697557722,-0.6326432929,-0.607751646,-0.5490870079
